bed,scan,vessel,end_mm,meas_mm,beyond15,beyond20,beyond22,beyond25,beyond30,n_leaves,n_leaves_lost_T4
leaky,102,LAD,151.38470365641612,75.10708780773706,81.27761584867906,76.27761584867906,74.27761584867906,71.27761584867906,66.27761584867906,,
leaky,280,LAD,140.88968320486927,50.18735312051434,95.70233008435494,90.70233008435494,88.70233008435494,85.70233008435493,80.70233008435494,,
leaky,306,LAD,152.4151328114401,49.92589106323847,107.48924174820162,102.48924174820162,100.48924174820162,97.48924174820162,92.48924174820162,,
leaky,335,LAD,145.5863917514542,45.02092138893202,105.56547036252218,100.56547036252216,98.56547036252216,95.56547036252216,90.56547036252216,,
leaky,368,LAD,135.15187570216546,70.19147327975625,69.9604024224092,64.96040242240919,62.96040242240919,59.96040242240919,54.96040242240918,,
leaky,621,LAD,148.2898989506847,74.80585835989483,78.48404059078985,73.48404059078985,71.48404059078985,68.48404059078985,63.48404059078985,,
leaky,661,LAD,64.4637220676949,49.93649882646793,19.52722324122698,14.527223241226976,12.527223241226979,9.527223241226977,4.52722324122698,,
leaky,690,LAD,88.93266985307858,50.148711249596964,43.783958603481615,38.78395860348162,36.783958603481615,33.783958603481615,28.78395860348162,,
leaky,935,LAD,143.97409673078656,49.908810047784854,99.06528668300172,94.0652866830017,92.0652866830017,89.0652866830017,84.0652866830017,,
leaky,151,LCX,114.87352095262786,49.86397689697192,70.00954405565594,65.00954405565594,63.00954405565594,60.00954405565594,55.00954405565594,,
leaky,196,LCX,111.53443130594765,45.231808904204776,71.30262240174287,66.30262240174287,64.30262240174287,61.302622401742866,56.30262240174287,,
leaky,273,LCX,108.82953831938963,44.95499308560809,68.87454523378155,63.87454523378154,61.87454523378154,58.87454523378154,53.87454523378155,,
leaky,659,LCX,64.32907979289658,45.11487447836576,24.21420531453082,19.214205314530815,17.214205314530815,14.214205314530812,9.21420531453082,,
leaky,754,LCX,134.71380094512838,74.76046744807257,64.95333349705581,59.95333349705581,57.95333349705581,54.95333349705581,49.9533334970558,,
leaky,847,LCX,135.3589813126953,45.04105712991414,95.31792418278117,90.31792418278117,88.31792418278117,85.31792418278117,80.31792418278117,,
leaky,908,LCX,130.04299547390573,74.82377769150435,60.2192177824014,55.219217782401394,53.21921778240141,50.2192177824014,45.2192177824014,,
leaky,935,LCX,121.20093219300365,49.924791181305785,76.27614101169787,71.27614101169786,69.27614101169787,66.27614101169787,61.276141011697874,,
leaky,42,RCA,161.25562491796808,50.16524154177246,116.09038337619562,111.09038337619562,109.09038337619562,106.09038337619562,101.09038337619562,,
leaky,69,RCA,175.88803052692626,44.914479137268,135.97355138965824,130.97355138965824,128.97355138965827,125.97355138965827,120.97355138965825,,
leaky,341,RCA,161.8086825632374,44.74999776504346,122.05868479819395,117.05868479819395,115.05868479819395,112.05868479819395,107.05868479819394,,
leaky,465,RCA,210.20966860884275,49.80994262585145,165.3997259829913,160.3997259829913,158.3997259829913,155.3997259829913,150.39972598299127,,
leaky,544,RCA,126.77269347068479,70.15317307644558,61.61952039423921,56.6195203942392,54.6195203942392,51.619520394239196,46.61952039423921,,
leaky,675,RCA,170.0500142676311,69.76935892406905,105.28065534356207,100.28065534356206,98.28065534356206,95.28065534356206,90.28065534356206,,
leaky,725,RCA,144.82858778874868,49.88108607591324,99.94750171283545,94.94750171283545,92.94750171283545,89.94750171283545,84.94750171283545,,
leaky,928,RCA,121.03275416667934,45.063863185331876,80.96889098134746,75.96889098134746,73.96889098134747,70.96889098134747,65.96889098134747,,
leaky,3,LAD,136.48100963792868,49.79604577575428,91.6849638621744,86.68496386217438,84.68496386217438,81.68496386217438,76.68496386217438,,
leaky,102,LAD,151.38470365641612,45.059147209134984,111.32555644728114,106.32555644728114,104.32555644728114,101.32555644728114,96.32555644728113,,
leaky,509,LAD,138.89917203179564,74.86779894255996,69.03137308923569,64.03137308923567,62.03137308923567,59.03137308923567,54.03137308923567,,
leaky,593,LAD,137.62208344986374,44.89001461236494,97.7320688374988,92.73206883749879,90.73206883749879,87.73206883749879,82.73206883749879,,
leaky,757,LAD,162.4373677830243,74.87601499565751,92.5613527873668,87.56135278736679,85.56135278736679,82.56135278736679,77.5613527873668,,
